Name,Rank,Fire Department,Date of Death,Location on Memorial
Charles H. Beadle,Captain,Walton Fire Department,11/20/1993,10 Top
Charles H. Furey,Captain,New York City Fire Department,02/14/1930,  4 Top
Charles Hunt,Lieutenant,New York City Fire Department,04/15/1977,  9 Top
Charles H. Vandecar    ,Firefighter    ,Troy Fire Department   ,08/30/1922,21 Bottom
Charles I. Pratt,Firefighter,South Queensbury Fire Department,04/09/1978,  9 Top
Charles J. Boll,Firefighter,New York City Fire Department,05/20/1959,13 Top
Charles J. Connolly,Firefighter,New York City Fire Department,03/14/1878,16 Bottom
Charles J. Franck,Lieutenant,New York City Fire Department,04/14/1965,11 Bottom
Charles J. Ginter,Firefighter,Oneida Fire Department,08/30/1941,17 Top
Charles J. Infosino,Firefighter,New York City Fire Department,04/04/1956,13 Top
Charles J. Johnson,Firefighter,New York City Fire Department,10/14/1918,  3 Top
Charles J. Margiotta,Lieutenant,New York City Fire Department,09/11/2001,  5 Bottom
Charles J. Murphy,Lieutenant,New York City Fire Department,01/09/1918,  2 Top
Charles J. Tozzo,Captain,Cold Spring Harbor Fire Department,10/28/2003,  2 Bottom
Charles Kaiser,Driver,Buffalo Fire Department,09/11/1917,  3 Top
Charles Keagan,Captain,New York City Fire Department,09/15/1884,15 Bottom
Charles Kohlenberger,Battalion Chief,New York City Fire Department,03/31/1945,16 Top
Charles Kraus,2nd Lieutenant,Roosevelt Fire Department,11/08/1965,  9 Top
Charles L. Jones III ,Firefighter ,New York City Fire Department ,01/29/2013,19 Top
Charles L. Kasper,Deputy Chief,New York City Fire Department ,09/11/2001,  4 Bottom
Charles McHugh,Firefighter,New York City Fire Department,08/08/1889,15 Bottom
Charles McPherson,Firefighter,Gates-Chili Fire Department,01/01/1975,  8 Top
Charles Mooney,Firefighter,Buffalo Fire Department,05/15/1950,15 Top
Charles Palmore,Firefighter,Niagara Falls Fire Department,02/01/1982,12 Top
Charles R. Haas,Firefighter,High Falls Fire Department,02/17/1981,12 Top
Charles R. Mendez,Firefighter,New York City Fire Department,09/11/2001,  6 Top
Charles R. Nagle,Firefighter,New York City Fire Department,08/11/1926,  5 Top
"Charles R. Sanchez, I",Firefighter,New York City Fire Department,01/07/1976,  8 Top
Charles R. Will,Firefighter,New York City Fire Department,03/18/1939,17 Top
Charles S. Bouton,Firefighter,New York City Fire Department,08/02/1978,  9 Top
Charles Schoener,Firefighter,New York City Fire Department,03/07/1936,18 Top
Charles S. Morris,Firefighter,New York City Fire Department,01/03/1890,14 Bottom
Charles Snyder,Firefighter,New York City Fire Department,01/04/1919,14 Bottom
Charles S. Szoke ,Firefighter ,New York City Fire Department ,12/01/2014,20 Top
Charles S. Vancleve,Battalion Chief,Binghamton Fire Department,01/16/1929,10 Bottom
Charles T. Dib,Chief,Franklin Sq. & Munson Fire Department,02/11/1969,  5 Top
Charles V. Wallace ,Firefighter ,Montgomery Fire Department ,02/03/2015,14 Bottom
Charles W. Abrams,Firefighter,New York City Fire Department,06/22/1820,21 Bottom
Charles Walker,Firefighter,Cohoes Fire Department,03/29/1877,10 Bottom
Charles W. Byron,Engineer,Rochester Fire Department,02/26/1919,  1 Top
Charles Werner,Firefighter,North Greece Fire Department,10/04/1975,  8 Top
Charles W. Garbarini,Lieutenant,New York City Fire Department,09/11/2001,  3 Bottom
Charles Wilson,Driver,Buffalo Fire Department,02/09/1891,14 Bottom
"Charles Wilson, III",Firefighter,New York City Fire Department,03/19/1959,13 Top
Charles W. McCarthy ,Lieutenant ,Buffalo Fire Department ,08/24/2009,20 Bottom
"Chester A. Long, Jr.",Past Chief,Kenmore Fire Department,04/09/1959,13 Top
Chester Jablonski,Firefighter,Woodgate Fire Department,05/11/1957,  7 Bottom
Chris E. A. McAuley,Firefighter,New York City Fire Department,05/12/1949,15 Top
Chris J. Plunkett,Lieutenant,New York City Fire Department,09/03/1938,18 Top
Christian L. Walter,Firefighter,New York City Fire Department,03/17/1917,  3 Top
Christian M. O. Regenhard,Firefighter,New York City Fire Department,09/11/2001,15 Top
Christian P. Engeldrum,Firefighter,New York City Fire Department,11/29/2004,17 Top
Christopher A. Bilger,Firefighter,North Syracuse Fire Department,09/21/1987,11 Top
Christopher A. Santora,Firefighter,New York City Fire Department,09/11/2001,18 Top
Christopher Boines,Firefighter,New York City Fire Department,03/21/1901,13 Bottom
Christopher Dressel,Firefighter,New York City Fire Department,01/31/1904,  3 Bottom
Christopher Fralick,Firefighter,Syracuse Fire Department,02/02/1885,15 Bottom
Christopher J. Blackwell,Firefighter,New York City Fire Department,09/11/2001,16 Top
Christopher J. Pickford,Firefighter,New York City Fire Department,09/11/2001,17 Top
Christopher J. Siedenburg,Firefighter,New York City Fire Department,03/29/1994,10 Top
Christopher Kent,Firefighter,Howard Fire Department,01/12/1994,10 Top
Christopher M. Bopp,Firefighter,New York City Fire Department,12/18/1998,10 Top
Christopher M. Mozzillo,Firefighter,New York City Fire Department,09/11/2001,15 Bottom
Christopher P. Savage,Lieutenant,Sir William Johnson Fire Department,02/27/1993,10 Top
Christopher P. Sullivan,Lieutenant,New York City Fire Department,09/11/2001,19 Top
Christopher Quinn,Firefighter,New York City Fire Department,11/11/1926,  5 Top
Christopher W. Dill,Firefighter,Buffalo Fire Department,04/04/2005,   1 Bottom
Christopher W. Harmon,Lieutenant,White Plains Fire Department,05/30/1962,12 Bottom
Claire Lockwood,Firefighter,Peekskill Fire Department,08/01/1918,  2 Top
Clarence G. Hamel,Commissioner,Manhasset-Lakeville Fire Department,10/09/1967,  6 Top
Clarence Schoures,Chief,North Bailey Fire Department,11/18/1975,  8 Top
Clarence S. LaMora,Firefighter,Watertown Fire Department,07/04/1950,10 Bottom
Clark S. Segmann,Firefighter,Troy Fire Department,01/10/1835,20 Bottom
Claude Gowdy,Firefighter,Willing Fire Department,07/07/1985,12 Top
Clifford B. Fuerst,Firefighter,Albany Fire Department,07/02/1961,12 Bottom
Clyde E. Johns,Lieutenant,Binghamton Fire Department,10/24/1970,  7 Top
Clyde W. Miller,Firefighter,Sidney Fire Department,06/24/1988,11 Top
Colin Fell,Captain,Hastings On The Hudson Fire Department,03/01/1989,11 Top
"Cornelius F. Patterson, Jr.",Lieutenant,Albany Fire Department,04/04/1931,  4 Top
Cornelius Garrison,Firefighter,New York City Fire Department,07/05/1832,20 Bottom
Cornelius Healy,Firefighter,New York City Fire Department,01/02/1935,19 Top
Cornelius R. Fogg    ,Firefighter    ,Poughkeepsie Fire Department     ,02/15/1928,  1 Top
Cornelius Shea,Firefighter,New York City Fire Department,07/10/1980,10 Bottom
Cornell L. Horne ,Firefighter ,New York City Fire Department,10/05/2014,  2 Bottom
Cruz Antonio Fernandez ,Lieutenant ,New York City Fire Department,07/14/2006,19 Bottom
Curtis W. Meyran,Lieutenant,New York City Fire Department,01/23/2005,21 Top
Dale A. Monica,Firefighter,Burke Volunteer Fire Department,04/16/2005,21 Top
Dale E. Linkroum,Firefighter,Deposit Fire Department,12/06/1993,10 Top
Dale M. Seib,Firefighter,Plainville Fire Department,02/26/1990,11 Top
Dale Steel,Firefighter,Mechanicville Fire Department,01/26/1981,12 Top
Dana J. Stevens,Firefighter,Boston Fire Department,07/17/1978,  9 Top
Dana R. Hannon,Firefighter,New York City Fire Department,09/11/2001,15 Top
Dana Standish,Firefighter,Naples Fire Department,07/26/1966,  9 Bottom
Daniel A. Dunphy,Firefighter,New York City Fire Department,01/26/1955,14 Top
Daniel A. Hart,Firefighter,New York City Fire Department,10/27/1910,  5 Bottom
Daniel A. Weisse,Firefighter,New York City Fire Department,09/14/1953,14 Top
Daniel Bermingham,Captain,Elmira Fire Department,01/11/1939,17 Top
Daniel C. Henderson,Firefighter,Port Washington Fire Department,07/29/1943, 6 Bottom
Daniel E. Harlin,Firefighter,New York City Fire Department,09/11/2001,12 Bottom
Daniel E. Heglund ,Firefighter ,New York City Fire Department ,09/22/2014,   1 Bottom
Daniel E. Wisniewski,Firefighter,Buffalo Fire Department,09/09/1956,  8 Top
Daniel F. Anson,Firefighter,Dunkirk Fire Department,08/08/1979,  9 Top
Daniel F. Libretti,Firefighter,New York City Fire Department,09/11/2001,15 Top
Daniel F. Pujdak,Firefighter,New York City Fire Department,06/21/2007,  2 Bottom
Daniel G. McKenzie ,Forest Ranger ,New York State DEC ,10/06/1948,10 Bottom
Daniel J. Brethel,Captain,New York City Fire Department,09/11/2001,17 Bottom
Daniel J. Campbell,Firefighter,New York City Fire Department,01/06/1907,  6 Bottom
Daniel J. Miller,Past Chief,Getzville Fire Department,12/08/1991,11 Top
Daniel J. Sheehan,Lieutenant,New York City Fire Department,11/06/1905,  3 Bottom
Daniel L. Rey,Firefighter,New York City Fire Department,10/17/1966,11 Bottom
Daniel McKay,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
Daniel M. Krauss,Firefighter,New York City Fire Department,12/30/1946,15 Top
Daniel Morawski,Firefighter,Cleveland Hill Fire Company,11/03/1976,  8 Top
"Daniel Murphy, I",Captain,New York City Fire Department,02/20/1941,17 Top
Daniel O’Callaghan,Lieutenant,New York City Fire Department,09/11/2001,  8 Top
Daniel O’Connell,Firefighter,Putnam Lake Fire Department,01/25/1999,  6 Top
Daniel O’Connor,Firefighter,Buffalo Fire Department,01/19/1908,  6 Bottom
Daniel O. Strauch,Firefighter,Coldenham Fire Department,03/24/1983,  8 Bottom
Daniel Perricone,Firefighter,New York City Fire Department,11/23/1974,  8 Top
Daniel R. Joslyn,Chief   ,Maple Spring Fire Department,06/01/1990,11 Top
Daniel Shanahan,Driver,Buffalo Fire Department,07/20/1890,15 Bottom
Daniel Strong,Firefighter,Franklin Square & Munson Fire Department,02/25/1989,11 Top
Daniel Sullivan,Firefighter,New York City Fire Department,09/11/1954,14 Top
Daniel T. Rice,Captain,New York City Fire Department,11/11/1956,13 Top
Daniel T. Suhr,Firefighter,New York City Fire Department,09/11/2001,  7 Bottom
Daniel Wheeler,Hoseman,Albany Fire Department,07/12/1885,15 Bottom
Daniel W. McCarthy,Firefighter,Irvington Fire Department,02/16/1941,10 Bottom
Daniel W. Mumford,Firefighter,West Haverstraw Fire Department,05/09/1998,10 Top
Danny Levy ,Firefighter ,Plainview Fire Department ,01/07/2013,20 Bottom
David Clute,Firefighter,New York City Fire Department,02/08/1876,14 Bottom
"David D. Duncan, Jr.",Lieutenant,Albany Fire Department,05/24/1985,12 Top
